open,label
-38058,0
-37877,0
-37725,0
-37592,0
-37543,0
-37588,0
-37668,0
-37806,0
-37986,0
-38187,0
-38403,0
-38605,0
-38776,0
-38877,0
-38925,0
-39002,0
-39121,0
-39259,0
-39369,0
-39406,0
-39410,0
-39468,0
-39625,0
-39846,0
-40026,0
-40118,0
-40198,0
-40368,0
-40680,0
-41085,0
-41489,0
-41835,0
-42099,0
-42318,0
-42525,0
-42731,0
-42924,0
-43034,0
-43044,0
-42975,0
-42851,0
-42717,0
-42590,0
-42438,0
-42188,0
-41843,0
-41444,0
-40964,0
-40454,0
-39980,0
-39576,0
-39261,0
-39002,0
-38788,0
-38610,0
-38500,0
-38537,0
-38701,0
-38930,0
-39159,0
-39326,0
-39432,0
-39534,0
-39670,0
-39788,0
-39818,0
-39727,0
-39557,0
-39400,0
-39289,0
-39194,0
-39096,0
-38990,0
-38899,0
-38850,0
-38874,0
-38970,0
-39122,0
-39339,0
-39598,0
-39865,0
-40140,0
-40400,0
-40649,0
-40921,0
-41211,0
-41520,0
-41815,0
-42033,0
-42153,0
-42227,0
-42308,0
-42368,0
-42352,0
-42179,0
-41825,0
-41395,0
-41015,0
-40753,0
-40526,0
-40245,0
-39916,0
-39551,0
-39244,0
-39087,0
-39036,0
-39022,0
-39007,0
-38990,0
-39014,0
-39124,0
-39295,0
-39493,0
-39715,0
-39916,0
-40034,0
-40048,0
-40005,0
-39958,0
-39915,0
-39917,0
-39960,0
-39978,0
-39923,0
-39791,0
-39654,0
